# //  ModelSim SE 10.1d Nov  1 2012 Linux 2.6.32-220.23.1.el6.engrit1.x86_64
# //
# //  Copyright 1991-2012 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  THIS WORK CONTAINS TRADE SECRET AND PROPRIETARY INFORMATION
# //  WHICH IS THE PROPERTY OF MENTOR GRAPHICS CORPORATION OR ITS
# //  LICENSORS AND IS SUBJECT TO LICENSE TERMS.
# //
# vsim -L project1_lib -l transcript.txt -i -multisource_delay latest -t ns +typdelays -foreign {hdsInit /software/mentor/HDS_2012.1/resources/downstream/modelsim/ModelSim_32Bit.dll} -pli {"/software/mentor/HDS_2012.1/resources/downstream/modelsim/ModelSim_32Bit.dll"} project1_lib.function_cipher_decrypt(struct) 
# Loading /software/mentor/HDS_2012.1/resources/downstream/modelsim/ModelSim_32Bit.dll
# Loading std.standard
# Loading std.textio(body)
# Loading ieee.std_logic_1164(body)
# Loading ieee.std_logic_arith(body)
# Loading work.function_cipher_decrypt(struct)#1
# Loading work.add_97_lowercase_shift(struct)#1
# Loading work.full_adder_8bit(struct)#1
# Loading work.full_adder(struct)#1
add wave -position insertpoint  \
sim:/function_cipher_decrypt/a \
sim:/function_cipher_decrypt/a1 \
sim:/function_cipher_decrypt/a2 \
sim:/function_cipher_decrypt/a3 \
sim:/function_cipher_decrypt/a4 \
sim:/function_cipher_decrypt/a5 \
sim:/function_cipher_decrypt/a6 \
sim:/function_cipher_decrypt/a7 \
sim:/function_cipher_decrypt/out0 \
sim:/function_cipher_decrypt/out1 \
sim:/function_cipher_decrypt/out2 \
sim:/function_cipher_decrypt/out3 \
sim:/function_cipher_decrypt/out4 \
sim:/function_cipher_decrypt/out5 \
sim:/function_cipher_decrypt/out6 \
sim:/function_cipher_decrypt/out7
emacs function_cipher_decrypt.do
do function_cipher_decrypt.do
run 40
